module,revisions,code
test\units\playbook\test_conditional.py,4,184
test\support\integration\plugins\modules\ec2_ami_info.py,4,241
changelogs\config.yaml,4,22
lib\ansible\plugins\lookup\subelements.py,4,69
lib\ansible\module_utils\facts\utils.py,4,64
lib\ansible\inventory\data.py,4,186
test\units\executor\test_task_executor.py,4,359
lib\ansible\plugins\action\service.py,4,61
test\lib\ansible_test\_util\target\common\constants.py,4,13
lib\ansible\playbook\task_include.py,4,102
test\units\cli\galaxy\test_execute_list_collection.py,4,207
lib\ansible\plugins\doc_fragments\constructed.py,4,76
test\sanity\code-smell\rstcheck.py,4,42
test\lib\ansible_test\_internal\provider\layout\collection.py,4,99
test\lib\ansible_test\_internal\metadata.py,4,85
lib\ansible\plugins\test\core.py,4,170
lib\ansible\utils\collection_loader\__init__.py,4,8
test\utils\shippable\remote.sh,4,22
test\lib\ansible_test\_util\controller\sanity\validate-modules\validate_modules\main.py,4,2058
test\lib\ansible_test\_internal\commands\sanity\integration_aliases.py,4,258
lib\ansible\playbook\__init__.py,4,68
test\integration\targets\subversion\roles\subversion\tasks\setup.yml,4,60
test\integration\targets\git\tasks\archive.yml,4,103
lib\ansible\plugins\cache\jsonfile.py,4,48
test\integration\targets\set_fact\runme.sh,4,19
docs\docsite\sphinx_conf\2.10_conf.py,4,84
test\lib\ansible_test\_internal\host_profiles.py,4,506
lib\ansible\plugins\lookup\inventory_hostnames.py,4,19
lib\ansible\module_utils\facts\system\service_mgr.py,4,84
test\integration\targets\prepare_http_tests\tasks\kerberos.yml,4,53
test\integration\targets\undefined\tasks\main.yml,4,15
examples\scripts\uptime.py,4,78
hacking\build_library\build_ansible\announce.py,4,120
lib\ansible\utils\unsafe_proxy.py,4,57
test\lib\ansible_test\_internal\commands\coverage\__init__.py,4,218
lib\ansible\plugins\callback\tree.py,4,65
test\units\cli\test_doc.py,4,104
lib\ansible\module_utils\common\text\converters.py,4,135
test\integration\targets\hostname\tasks\main.yml,4,41
lib\ansible\plugins\action\copy.py,4,337
test\units\plugins\callback\test_callback.py,4,332
test\integration\targets\ansible-test\collection-tests\coverage.sh,4,10
lib\ansible\module_utils\common\arg_spec.py,4,143
lib\ansible\inventory\group.py,4,208
test\integration\targets\pip\tasks\main.yml,4,44
test\integration\targets\ansible-galaxy-collection-scm\tasks\scm_dependency_deduplication.yml,4,84
test\lib\ansible_test\_internal\commands\sanity\compile.py,4,67
test\integration\targets\incidental_setup_docker\vars\RedHat-8.yml,4,9
test\utils\shippable\sanity.sh,4,20
test\integration\targets\roles_arg_spec\test_complex_role_fails.yml,4,149
lib\ansible\plugins\lookup\varnames.py,4,28
test\integration\targets\git\tasks\setup.yml,4,34
test\lib\ansible_test\_internal\commands\integration\cloud\aws.py,4,85
lib\ansible\utils\version.py,4,176
test\units\module_utils\common\warnings\test_deprecate.py,4,70
test\lib\ansible_test\_internal\classification\csharp.py,4,64
test\lib\ansible_test\_internal\data.py,4,194
lib\ansible\playbook\collectionsearch.py,4,32
test\support\integration\plugins\modules\docker_swarm.py,4,596
test\lib\ansible_test\_internal\commands\integration\cloud\__init__.py,4,250
lib\ansible\playbook\role\definition.py,4,130
test\units\executor\test_play_iterator.py,4,296
lib\ansible\plugins\lookup\file.py,4,32
test\integration\targets\module_utils_Ansible.ModuleUtils.WebRequest\library\web_request_test.ps1,4,383
test\lib\ansible_test\_internal\provider\__init__.py,4,44
test\integration\targets\roles\runme.sh,4,9
lib\ansible\template\vars.py,4,80
lib\ansible\plugins\lookup\csvfile.py,4,75
lib\ansible\plugins\action\reboot.py,4,362
test\integration\targets\test_core\tasks\main.yml,4,304
test\integration\targets\setup_rpm_repo\tasks\main.yml,4,84
test\integration\targets\slurp\tasks\test_unreadable.yml,4,70
lib\ansible\galaxy\dependency_resolution\__init__.py,4,41
lib\ansible\plugins\shell\__init__.py,4,138
test\units\module_utils\facts\test_collectors.py,4,346
test\lib\ansible_test\_internal\commands\sanity\bin_symlinks.py,4,71
test\lib\ansible_test\_internal\commands\integration\cloud\azure.py,4,108
test\lib\ansible_test\_internal\ssh.py,4,180
test\integration\targets\blockinfile\tasks\main.yml,4,19
test\integration\targets\ansible-doc\collections\ansible_collections\testns\testcol\plugins\vars\noop_vars_plugin.py,4,24
lib\ansible\galaxy\token.py,4,110
lib\ansible\plugins\lookup\vars.py,4,34
test\lib\ansible_test\_util\controller\sanity\code-smell\shebang.py,4,97
lib\ansible\galaxy\dependency_resolution\dataclasses.py,4,318
test\integration\targets\slurp\tasks\main.yml,4,43
test\support\integration\plugins\modules\ec2.py,4,1315
test\units\plugins\inventory\test_constructed.py,3,277
test\integration\targets\git\vars\main.yml,3,91
test\units\parsing\vault\test_vault_editor.py,3,338
test\lib\ansible_test\_util\controller\sanity\yamllint\yamllinter.py,3,176
test\integration\targets\ansible-galaxy-collection-scm\tasks\scm_dependency.yml,3,22
test\lib\ansible_test\_internal\commands\integration\cloud\cs.py,3,120
.github\ISSUE_TEMPLATE\config.yml,3,23
lib\ansible\plugins\lookup\together.py,3,22
test\integration\targets\become_unprivileged\runme.sh,3,31
lib\ansible\module_utils\_text.py,3,5
test\sanity\code-smell\deprecated-config.py,3,63
lib\ansible\module_utils\facts\system\date_time.py,3,40
test\lib\ansible_test\_internal\constants.py,3,34
lib\ansible\parsing\yaml\constructor.py,3,113
test\units\config\test_manager.py,3,124
test\units\plugins\shell\test_powershell.py,3,70
test\integration\targets\setup_paramiko\install-Alpine-3-python-3.yml,3,8
test\integration\targets\include_vars\tasks\main.yml,3,185
test\integration\targets\ansible-galaxy-collection-scm\tasks\setup.yml,3,16
lib\ansible\plugins\inventory\auto.py,3,44
lib\ansible\galaxy\collection\galaxy_api_proxy.py,3,123
test\units\plugins\strategy\test_strategy.py,3,417
lib\ansible\plugins\filter\urlsplit.py,3,19
test\units\modules\test_hostname.py,3,115
test\units\cli\test_vault.py,3,171
test\lib\ansible_test\_internal\commands\coverage\erase.py,3,26
test\lib\ansible_test\_internal\commands\integration\cloud\openshift.py,3,76
test\lib\ansible_test\_internal\commands\integration\cloud\nios.py,3,57
lib\ansible\plugins\action\yum.py,3,67
test\integration\targets\lookup_config\tasks\main.yml,3,64
lib\ansible\plugins\doc_fragments\inventory_cache.py,3,72
test\integration\targets\ansible-doc\collections\ansible_collections\testns\testcol\plugins\cache\notjsonfile.py,3,58
lib\ansible\keyword_desc.yml,3,66
test\sanity\code-smell\ansible-requirements.py,3,20
test\integration\targets\ansible-galaxy-collection-scm\tasks\reinstalling.yml,3,24
changelogs\fragments\ansible-test-sanity-vendoring.yml,3,2
test\integration\targets\lookup_ini\test_lookup_properties.yml,3,69
test\lib\ansible_test\_util\controller\sanity\code-smell\runtime-metadata.py,3,197
test\integration\targets\unsafe_writes\basic.yml,3,76
lib\ansible\plugins\become\sudo.py,3,33
.azure-pipelines\templates\coverage.yml,3,31
test\integration\targets\roles_arg_spec\runme.sh,3,10
test\lib\ansible_test\_internal\commands\integration\cloud\galaxy.py,3,117
lib\ansible\template\template.py,3,21
test\integration\targets\file\tasks\directory_as_dest.yml,3,247
lib\ansible\module_utils\connection.py,3,134
lib\ansible\module_utils\common\collections.py,3,51
test\units\module_utils\common\arg_spec\test_validate_valid.py,3,321
test\lib\ansible_test\_util\controller\sanity\pslint\pslint.ps1,3,27
test\integration\targets\prepare_http_tests\tasks\default.yml,3,53
test\integration\targets\ansible-galaxy-collection-scm\tasks\download.yml,3,39
lib\ansible\module_utils\common\json.py,3,46
test\integration\targets\callback_default\test.yml,3,90
test\units\module_utils\common\process\test_get_bin_path.py,3,19
test\units\plugins\lookup\test_password.py,3,424
test\lib\ansible_test\_data\playbooks\windows_coverage_teardown.yml,3,63
lib\ansible\galaxy\dependency_resolution\versioning.py,3,37
test\units\module_utils\facts\test_date_time.py,3,64
changelogs\fragments\ansible-test-constraints.yaml,3,3
test\integration\targets\incidental_setup_docker\vars\RedHat-7.yml,3,12
test\integration\targets\ansible-galaxy-collection\tasks\build.yml,3,64
test\integration\targets\dnf\tasks\logging.yml,3,39
lib\ansible\__init__.py,3,4
test\lib\ansible_test\_util\target\setup\quiet_pip.py,3,35
test\integration\targets\collections_runtime_pythonpath\runme.sh,3,46
lib\ansible\plugins\become\runas.py,3,8
test\integration\targets\expect\tasks\main.yml,3,159
test\integration\targets\service\tasks\tests.yml,3,208
test\lib\ansible_test\_internal\host_configs.py,3,284
lib\ansible\vars\fact_cache.py,3,44
test\integration\targets\ansible-galaxy-collection-scm\tasks\requirements.yml,3,90
test\integration\targets\gathering_facts\test_gathering_facts.yml,3,426
lib\ansible\plugins\inventory\generator.py,3,108
test\integration\targets\ansible-doc\roles\test_role1\meta\argument_specs.yml,3,31
test\sanity\code-smell\configure-remoting-ps1.py,3,31
test\integration\targets\unsafe_writes\runme.sh,3,5
lib\ansible\module_utils\api.py,3,95
lib\ansible\parsing\plugin_docs.py,3,69
test\integration\targets\unarchive\tasks\test_include.yml,3,71
lib\ansible\plugins\doc_fragments\url.py,3,67
test\integration\targets\filter_urls\tasks\main.yml,3,19
test\units\module_utils\common\test_dict_transformations.py,3,109
test\integration\targets\package\tasks\main.yml,3,180
test\integration\targets\lineinfile\tasks\main.yml,3,1109
lib\ansible\plugins\action\include_vars.py,3,208
test\lib\ansible_test\_util\target\cli\ansible_test_cli_stub.py,3,20
lib\ansible\executor\powershell\coverage_wrapper.ps1,3,148
test\integration\targets\module_utils\module_utils_vvvvv.yml,3,25
.github\RELEASE_NAMES.yml,3,15
lib\ansible\module_utils\distro\__init__.py,3,21
test\integration\targets\ansible-doc\collections\ansible_collections\testns\testcol\plugins\lookup\noop.py,3,13
lib\ansible\module_utils\distro\_distro.py,3,470
test\integration\targets\user\tasks\test_local.yml,3,147
lib\ansible\module_utils\common\warnings.py,3,22
test\units\plugins\become\test_sudo.py,3,45
test\lib\ansible_test\_internal\provider\source\git.py,3,41
